fixture_id,provider_id,comp,country,home,away,kickoff_utc,ft_home,ft_away
2951,1390845,La Liga,Spain,Rayo Vallecano,Barcelona,2025-08-31T19:30:00+00:00,1,1
2949,1419607,Serie B,Italy,Modena,Avellino,2025-08-31T19:00:00+00:00,1,1
2950,1419610,Serie B,Italy,Bari,Monza,2025-08-31T19:00:00+00:00,1,1
2947,1377878,Serie A,Italy,Lazio,Verona,2025-08-31T18:45:00+00:00,4,0
2946,1377877,Serie A,Italy,Inter,Udinese,2025-08-31T18:45:00+00:00,1,2
2948,1387720,Ligue 1,France,Lyon,Marseille,2025-08-31T18:45:00+00:00,1,0
2945,1378989,Premier League,England,Aston Villa,Crystal Palace,2025-08-31T18:00:00+00:00,0,3
2943,1388319,Bundesliga,Germany,1.FC Köln,SC Freiburg,2025-08-31T17:30:00+00:00,4,1
2944,1390843,La Liga,Spain,Espanyol,Osasuna,2025-08-31T17:30:00+00:00,1,0
2940,1390840,La Liga,Spain,Real Betis,Athletic Club,2025-08-31T17:00:00+00:00,1,2
2942,1419609,Serie B,Italy,Sudtirol,Sampdoria,2025-08-31T17:00:00+00:00,3,1
2941,1419608,Serie B,Italy,Carrarese,Padova,2025-08-31T17:00:00+00:00,0,0
2938,1377876,Serie A,Italy,Genoa,Juventus,2025-08-31T16:30:00+00:00,0,1
2939,1377883,Serie A,Italy,Torino,Fiorentina,2025-08-31T16:30:00+00:00,0,0
2936,1378993,Premier League,England,Liverpool,Arsenal,2025-08-31T15:30:00+00:00,1,0
2937,1388318,Bundesliga,Germany,Borussia Dortmund,Union Berlin,2025-08-31T15:30:00+00:00,3,0
2933,1387717,Ligue 1,France,Le Havre,Nice,2025-08-31T15:15:00+00:00,3,1
2934,1387721,Ligue 1,France,Monaco,Strasbourg,2025-08-31T15:15:00+00:00,3,2
2935,1387723,Ligue 1,France,Paris FC,Metz,2025-08-31T15:15:00+00:00,3,2
2932,1390841,La Liga,Spain,Celta Vigo,Villarreal,2025-08-31T15:00:00+00:00,1,1
2931,1382686,Premiership,Scotland,Hibernian,ST Mirren,2025-08-31T14:00:00+00:00,1,1
2930,1382684,Premiership,Scotland,Aberdeen,Falkirk,2025-08-31T14:00:00+00:00,0,1
2929,1435816,Ligue A,Burundi,Vital'O,Olympic Star,2025-08-31T13:45:00+00:00,1,2
2928,1388325,Bundesliga,Germany,VfL Wolfsburg,FSV Mainz 05,2025-08-31T13:30:00+00:00,1,1
2926,1435814,Ligue A,Burundi,Flambeau du Centre,Kayanza United,2025-08-31T13:00:00+00:00,2,0
2922,1378990,Premier League,England,Brighton,Manchester City,2025-08-31T13:00:00+00:00,2,1
2923,1378995,Premier League,England,Nottingham Forest,West Ham,2025-08-31T13:00:00+00:00,0,3
2924,1382685,Premiership,Scotland,Dundee,Dundee Utd,2025-08-31T13:00:00+00:00,0,2
2925,1387716,Ligue 1,France,Angers,Rennes,2025-08-31T13:00:00+00:00,1,1
2927,1435815,Ligue A,Burundi,Ngozi City,Rukinzo,2025-08-31T13:00:00+00:00,0,3
2921,1388648,2. Bundesliga,Germany,Dynamo Dresden,FC Schalke 04,2025-08-31T11:30:00+00:00,0,1
2919,1388645,2. Bundesliga,Germany,1. FC Kaiserslautern,SV Darmstadt 98,2025-08-31T11:30:00+00:00,3,1
2920,1388646,2. Bundesliga,Germany,1. FC Magdeburg,SpVgg Greuther Fürth,2025-08-31T11:30:00+00:00,4,5
2917,1382689,Premiership,Scotland,Rangers,Celtic,2025-08-31T11:00:00+00:00,0,0
2918,1435813,Ligue A,Burundi,Royal Vision,Le Messager Ngozi,2025-08-31T11:00:00+00:00,3,1
2916,1390846,La Liga,Spain,Real Madrid,Mallorca,2025-08-30T19:30:00+00:00,2,1
2915,1387724,Ligue 1,France,Toulouse,Paris Saint Germain,2025-08-30T19:05:00+00:00,3,6
2913,1419606,Serie B,Italy,Palermo,Frosinone,2025-08-30T19:00:00+00:00,0,0
2912,1419604,Serie B,Italy,Spezia,Catanzaro,2025-08-30T19:00:00+00:00,0,0
2914,1419611,Serie B,Italy,Cesena,Virtus Entella,2025-08-30T19:00:00+00:00,1,1
2910,1377882,Serie A,Italy,Pisa,AS Roma,2025-08-30T18:45:00+00:00,0,1
2911,1419516,FA Cup,Scotland,Bo'ness Athletic,Creetown,2025-08-30T18:45:00+00:00,7,0
2909,1377880,Serie A,Italy,Napoli,Cagliari,2025-08-30T18:45:00+00:00,1,0
2908,1388643,2. Bundesliga,Germany,Fortuna Düsseldorf,Karlsruher SC,2025-08-30T18:30:00+00:00,0,0
2907,1390844,La Liga,Spain,Girona,Sevilla,2025-08-30T17:30:00+00:00,0,2
2905,1419602,Serie B,Italy,Mantova,Pescara,2025-08-30T17:00:00+00:00,2,1
2906,1419603,Serie B,Italy,Juve Stabia,Venezia,2025-08-30T17:00:00+00:00,0,0
2903,1387722,Ligue 1,France,Nantes,Auxerre,2025-08-30T17:00:00+00:00,1,0
2904,1390847,La Liga,Spain,Oviedo,Real Sociedad,2025-08-30T17:00:00+00:00,1,0
2899,1377874,Serie A,Italy,Bologna,Como,2025-08-30T16:30:00+00:00,1,0
2901,1378992,Premier League,England,Leeds,Newcastle,2025-08-30T16:30:00+00:00,0,0
2900,1377881,Serie A,Italy,Parma,Atalanta,2025-08-30T16:30:00+00:00,1,1
2902,1388317,Bundesliga,Germany,FC Augsburg,Bayern München,2025-08-30T16:30:00+00:00,2,3
2898,1390839,La Liga,Spain,Alaves,Atletico Madrid,2025-08-30T15:00:00+00:00,1,1
2897,1387719,Ligue 1,France,Lorient,Lille,2025-08-30T15:00:00+00:00,1,7
2896,1387170,League One,England,Lincoln,Mansfield Town,2025-08-30T14:15:00+00:00,1,1
2880,1419515,FA Cup,Scotland,Hill Of Beath Hawthorn,St Andrews United,2025-08-30T14:00:00+00:00,4,2
2895,1452505,FA Cup,Scotland,Invergordon,Dunipace,2025-08-30T14:00:00+00:00,3,1
2894,1419536,FA Cup,Scotland,Tweedmouth,Lochee United,2025-08-30T14:00:00+00:00,1,3
2893,1419534,FA Cup,Scotland,Benburb,Easthouses Lily,2025-08-30T14:00:00+00:00,2,0
2892,1419533,FA Cup,Scotland,Auchinleck Talbot,Haddington Athletic,2025-08-30T14:00:00+00:00,4,0
2891,1419532,FA Cup,Scotland,Blackburn United,Darvel,2025-08-30T14:00:00+00:00,1,3
2890,1419530,FA Cup,Scotland,St. Cuthbert Wanderers,Burntisland Shipyard,2025-08-30T14:00:00+00:00,0,2
2889,1419529,FA Cup,Scotland,Bonnyton Thistle,Girvan,2025-08-30T14:00:00+00:00,2,1
2888,1419527,FA Cup,Scotland,Dunbar United,Cumnock Juniors,2025-08-30T14:00:00+00:00,2,4
2887,1419526,FA Cup,Scotland,Glasgow University,Newton Stewart,2025-08-30T14:00:00+00:00,3,1
2886,1419525,FA Cup,Scotland,Glenafton Athletic,Dalkeith Thistle,2025-08-30T14:00:00+00:00,3,0
2885,1419524,FA Cup,Scotland,Hawick Royal Albert,Threave Rovers,2025-08-30T14:00:00+00:00,1,4
2884,1419520,FA Cup,Scotland,Penicuik Athletic,Kilwinning Rangers,2025-08-30T14:00:00+00:00,2,4
2883,1419519,FA Cup,Scotland,Tayport,Dalbeattie Star,2025-08-30T14:00:00+00:00,4,1
2882,1419518,FA Cup,Scotland,Golspie Sutherland,Coldstream,2025-08-30T14:00:00+00:00,0,3
2881,1419517,FA Cup,Scotland,Vale of Leithen,Musselburgh Athletic,2025-08-30T14:00:00+00:00,1,6
2867,1386596,Championship,England,Watford,Southampton,2025-08-30T14:00:00+00:00,2,2
2879,1419514,FA Cup,Scotland,Sauchie Juniors,Lothian Hutchison,2025-08-30T14:00:00+00:00,2,0
2878,1387173,League One,England,Wigan,Stockport County,2025-08-30T14:00:00+00:00,1,1
2877,1387172,League One,England,Stevenage,Wycombe,2025-08-30T14:00:00+00:00,1,0
2876,1387171,League One,England,Reading,Port Vale,2025-08-30T14:00:00+00:00,1,0
2875,1387169,League One,England,Leyton Orient,Northampton,2025-08-30T14:00:00+00:00,0,1
2874,1387168,League One,England,Exeter City,Peterborough,2025-08-30T14:00:00+00:00,3,0
2873,1387166,League One,England,Burton Albion,Luton,2025-08-30T14:00:00+00:00,0,3
2872,1387165,League One,England,Bradford,AFC Wimbledon,2025-08-30T14:00:00+00:00,3,2
2871,1387164,League One,England,Blackpool,Bolton,2025-08-30T14:00:00+00:00,1,1
