fixture_id,provider_id,comp,country,home,away,kickoff_utc,ft_home,ft_away
2215,1323294,World Cup - Qualification Europe,World,San Marino,Bosnia & Herzegovina,2025-09-06T18:45:00+00:00,0,6
2213,1323292,World Cup - Qualification Europe,World,Rep. Of Ireland,Hungary,2025-09-06T18:45:00+00:00,2,2
2214,1323293,World Cup - Qualification Europe,World,Austria,Cyprus,2025-09-06T18:45:00+00:00,1,0
2212,1386069,League Two,England,Bromley,Gillingham,2025-09-06T16:30:00+00:00,2,2
2210,1323291,World Cup - Qualification Europe,World,England,Andorra,2025-09-06T16:00:00+00:00,2,0
2211,1366286,World Cup - Qualification Europe,World,Armenia,Portugal,2025-09-06T16:00:00+00:00,0,5
545,1386079,League Two,England,Barnet,Shrewsbury,2025-09-06T14:00:00+00:00,1,3
2180,1386075,League Two,England,Notts County,Fleetwood Town,2025-09-06T14:00:00+00:00,1,0
2179,1386074,League Two,England,Milton Keynes Dons,Grimsby,2025-09-06T14:00:00+00:00,2,3
2178,1386073,League Two,England,Harrogate Town,Crawley Town,2025-09-06T14:00:00+00:00,0,1
2177,1386072,League Two,England,Colchester,Crewe,2025-09-06T14:00:00+00:00,1,1
2176,1386071,League Two,England,Cheltenham,Accrington ST,2025-09-06T14:00:00+00:00,1,0
2175,1386070,League Two,England,Cambridge United,Oldham,2025-09-06T14:00:00+00:00,0,1
2174,1386068,League Two,England,Barrow,Swindon Town,2025-09-06T14:00:00+00:00,1,3
2172,1382886,Championship,Scotland,Morton,Raith Rovers,2025-09-06T14:00:00+00:00,0,1
535,1382888,Championship,Scotland,Ross County,Arbroath,2025-09-06T14:00:00+00:00,1,2
2193,1387185,League One,England,Wycombe,Mansfield Town,2025-09-06T14:00:00+00:00,2,0
2191,1387183,League One,England,Rotherham,Exeter City,2025-09-06T14:00:00+00:00,1,0
2189,1387181,League One,England,Port Vale,Leyton Orient,2025-09-06T14:00:00+00:00,2,3
2188,1387180,League One,England,Plymouth,Stockport County,2025-09-06T14:00:00+00:00,4,2
2187,1387179,League One,England,Lincoln,Wigan,2025-09-06T14:00:00+00:00,2,2
2186,1387178,League One,England,Huddersfield,Peterborough,2025-09-06T14:00:00+00:00,3,2
2185,1387177,League One,England,Doncaster,Bradford,2025-09-06T14:00:00+00:00,3,1
2184,1387176,League One,England,Bolton,AFC Wimbledon,2025-09-06T14:00:00+00:00,3,0
2182,1386077,League Two,England,Walsall,Chesterfield,2025-09-06T14:00:00+00:00,1,0
2181,1386076,League Two,England,Salford City,Tranmere,2025-09-06T14:00:00+00:00,3,1
2171,1323290,World Cup - Qualification Europe,World,Latvia,Serbia,2025-09-06T13:00:00+00:00,0,1
532,1386078,League Two,England,Newport County,Bristol Rovers,2025-09-06T11:30:00+00:00,2,3
2220,1323283,World Cup - Qualification Europe,World,Liechtenstein,Belgium,2025-09-04T18:45:00+00:00,0,6
2219,1323281,World Cup - Qualification Europe,World,Luxembourg,Northern Ireland,2025-09-04T18:45:00+00:00,1,3
2222,1366280,World Cup - Qualification Europe,World,Bulgaria,Spain,2025-09-04T18:45:00+00:00,0,3
2223,1366281,World Cup - Qualification Europe,World,Netherlands,Poland,2025-09-04T18:45:00+00:00,1,1
2221,1366279,World Cup - Qualification Europe,World,Slovakia,Germany,2025-09-04T18:45:00+00:00,2,0
2217,1323280,World Cup - Qualification Europe,World,Georgia,Türkiye,2025-09-04T16:00:00+00:00,2,3
2218,1323282,World Cup - Qualification Europe,World,Lithuania,Malta,2025-09-04T16:00:00+00:00,1,1
2216,1323279,World Cup - Qualification Europe,World,Kazakhstan,Wales,2025-09-04T14:00:00+00:00,0,1
2170,1390845,La Liga,Spain,Rayo Vallecano,Barcelona,2025-08-31T19:30:00+00:00,1,1
2169,1419610,Serie B,Italy,Bari,Monza,2025-08-31T19:00:00+00:00,1,1
2168,1419607,Serie B,Italy,Modena,Avellino,2025-08-31T19:00:00+00:00,1,1
2167,1387720,Ligue 1,France,Lyon,Marseille,2025-08-31T18:45:00+00:00,1,0
2166,1377878,Serie A,Italy,Lazio,Verona,2025-08-31T18:45:00+00:00,4,0
2165,1377877,Serie A,Italy,Inter,Udinese,2025-08-31T18:45:00+00:00,1,2
2164,1378989,Premier League,England,Aston Villa,Crystal Palace,2025-08-31T18:00:00+00:00,0,3
2163,1390843,La Liga,Spain,Espanyol,Osasuna,2025-08-31T17:30:00+00:00,1,0
2162,1388319,Bundesliga,Germany,1.FC Köln,SC Freiburg,2025-08-31T17:30:00+00:00,4,1
2161,1419609,Serie B,Italy,Sudtirol,Sampdoria,2025-08-31T17:00:00+00:00,3,1
2160,1419608,Serie B,Italy,Carrarese,Padova,2025-08-31T17:00:00+00:00,0,0
2159,1390840,La Liga,Spain,Real Betis,Athletic Club,2025-08-31T17:00:00+00:00,1,2
2158,1377883,Serie A,Italy,Torino,Fiorentina,2025-08-31T16:30:00+00:00,0,0
2157,1377876,Serie A,Italy,Genoa,Juventus,2025-08-31T16:30:00+00:00,0,1
2156,1388318,Bundesliga,Germany,Borussia Dortmund,Union Berlin,2025-08-31T15:30:00+00:00,3,0
2155,1378993,Premier League,England,Liverpool,Arsenal,2025-08-31T15:30:00+00:00,1,0
2154,1387723,Ligue 1,France,Paris FC,Metz,2025-08-31T15:15:00+00:00,3,2
2153,1387721,Ligue 1,France,Monaco,Strasbourg,2025-08-31T15:15:00+00:00,3,2
2152,1387717,Ligue 1,France,Le Havre,Nice,2025-08-31T15:15:00+00:00,3,1
2151,1390841,La Liga,Spain,Celta Vigo,Villarreal,2025-08-31T15:00:00+00:00,1,1
2150,1382686,Premiership,Scotland,Hibernian,ST Mirren,2025-08-31T14:00:00+00:00,1,1
2149,1382684,Premiership,Scotland,Aberdeen,Falkirk,2025-08-31T14:00:00+00:00,0,1
2147,1388325,Bundesliga,Germany,VfL Wolfsburg,FSV Mainz 05,2025-08-31T13:30:00+00:00,1,1
2142,1378995,Premier League,England,Nottingham Forest,West Ham,2025-08-31T13:00:00+00:00,0,3
2144,1387716,Ligue 1,France,Angers,Rennes,2025-08-31T13:00:00+00:00,1,1
2143,1382685,Premiership,Scotland,Dundee,Dundee Utd,2025-08-31T13:00:00+00:00,0,2
2141,1378990,Premier League,England,Brighton,Manchester City,2025-08-31T13:00:00+00:00,2,1
2138,1388645,2. Bundesliga,Germany,1. FC Kaiserslautern,SV Darmstadt 98,2025-08-31T11:30:00+00:00,3,1
2140,1388648,2. Bundesliga,Germany,Dynamo Dresden,FC Schalke 04,2025-08-31T11:30:00+00:00,0,1
2139,1388646,2. Bundesliga,Germany,1. FC Magdeburg,SpVgg Greuther Fürth,2025-08-31T11:30:00+00:00,4,5
2136,1382689,Premiership,Scotland,Rangers,Celtic,2025-08-31T11:00:00+00:00,0,0
2135,1390846,La Liga,Spain,Real Madrid,Mallorca,2025-08-30T19:30:00+00:00,2,1
2134,1387724,Ligue 1,France,Toulouse,Paris Saint Germain,2025-08-30T19:05:00+00:00,3,6
2133,1419611,Serie B,Italy,Cesena,Virtus Entella,2025-08-30T19:00:00+00:00,1,1
2132,1419606,Serie B,Italy,Palermo,Frosinone,2025-08-30T19:00:00+00:00,0,0
2131,1419604,Serie B,Italy,Spezia,Catanzaro,2025-08-30T19:00:00+00:00,0,0
2129,1377882,Serie A,Italy,Pisa,AS Roma,2025-08-30T18:45:00+00:00,0,1
2128,1377880,Serie A,Italy,Napoli,Cagliari,2025-08-30T18:45:00+00:00,1,0
2127,1388643,2. Bundesliga,Germany,Fortuna Düsseldorf,Karlsruher SC,2025-08-30T18:30:00+00:00,0,0
2126,1390844,La Liga,Spain,Girona,Sevilla,2025-08-30T17:30:00+00:00,0,2
2123,1390847,La Liga,Spain,Oviedo,Real Sociedad,2025-08-30T17:00:00+00:00,1,0
2125,1419603,Serie B,Italy,Juve Stabia,Venezia,2025-08-30T17:00:00+00:00,0,0
2124,1419602,Serie B,Italy,Mantova,Pescara,2025-08-30T17:00:00+00:00,2,1
2122,1387722,Ligue 1,France,Nantes,Auxerre,2025-08-30T17:00:00+00:00,1,0
2119,1377881,Serie A,Italy,Parma,Atalanta,2025-08-30T16:30:00+00:00,1,1
2121,1388317,Bundesliga,Germany,FC Augsburg,Bayern München,2025-08-30T16:30:00+00:00,2,3
2120,1378992,Premier League,England,Leeds,Newcastle,2025-08-30T16:30:00+00:00,0,0
2118,1377874,Serie A,Italy,Bologna,Como,2025-08-30T16:30:00+00:00,1,0
2116,1387719,Ligue 1,France,Lorient,Lille,2025-08-30T15:00:00+00:00,1,7
2117,1390839,La Liga,Spain,Alaves,Atletico Madrid,2025-08-30T15:00:00+00:00,1,1
2115,1387170,League One,England,Lincoln,Mansfield Town,2025-08-30T14:15:00+00:00,1,1
2097,1387173,League One,England,Wigan,Stockport County,2025-08-30T14:00:00+00:00,1,1
2077,1386063,League Two,England,Oldham,Gillingham,2025-08-30T14:00:00+00:00,0,1
2076,1386062,League Two,England,Milton Keynes Dons,Walsall,2025-08-30T14:00:00+00:00,0,1
2075,1386061,League Two,England,Grimsby,Bristol Rovers,2025-08-30T14:00:00+00:00,0,1
2074,1386059,League Two,England,Chesterfield,Crawley Town,2025-08-30T14:00:00+00:00,2,2
2073,1386058,League Two,England,Bromley,Harrogate Town,2025-08-30T14:00:00+00:00,2,0
2072,1386056,League Two,England,Barnet,Colchester,2025-08-30T14:00:00+00:00,1,1
2071,1382883,Championship,Scotland,ST Johnstone,Morton,2025-08-30T14:00:00+00:00,1,1
2070,1382882,Championship,Scotland,Partick,Raith Rovers,2025-08-30T14:00:00+00:00,3,2
2069,1382881,Championship,Scotland,Dunfermline,Ross County,2025-08-30T14:00:00+00:00,2,2
2068,1382880,Championship,Scotland,Ayr Utd,Queen's Park,2025-08-30T14:00:00+00:00,1,1
