fixture_id,provider_id,comp,country,home,away,kickoff_utc,ft_home,ft_away
545,1386079,League Two,England,Barnet,Shrewsbury,2025-09-06T14:00:00+00:00,1,3
535,1382888,Championship,Scotland,Ross County,Arbroath,2025-09-06T14:00:00+00:00,1,2
532,1386078,League Two,England,Newport County,Bristol Rovers,2025-09-06T11:30:00+00:00,2,3
85,1378986,Premier League,England,Manchester City,Tottenham,2025-08-23T11:30:00+00:00,0,2
88,1386575,Championship,England,Swansea,Watford,2025-08-23T11:30:00+00:00,1,1
2362,1387126,League One,England,Port Vale,Cardiff,2025-08-07T19:00:00+00:00,0,0
2363,1421165,UEFA Europa Conference League,World,Larne,Santa Clara,2025-08-07T19:00:00+00:00,0,3
2367,1421180,UEFA Europa Conference League,World,HNK Hajduk Split,Dinamo Tirana,2025-08-07T19:00:00+00:00,2,1
2366,1421177,UEFA Europa Conference League,World,Rapid Vienna,Dundee Utd,2025-08-07T19:00:00+00:00,2,2
2365,1421171,UEFA Europa Conference League,World,FK Partizan,Hibernian,2025-08-07T19:00:00+00:00,0,2
2364,1421166,UEFA Europa Conference League,World,Raków Częstochowa,Maccabi Haifa,2025-08-07T19:00:00+00:00,0,1
2361,1421176,UEFA Europa Conference League,World,St Patrick's Athl.,Besiktas,2025-08-07T18:45:00+00:00,1,4
2360,1421164,UEFA Europa Conference League,World,Vikingur Reykjavik,Brondby,2025-08-07T18:45:00+00:00,3,0
2359,1421217,UEFA Europa League,World,FCSB,Drita,2025-08-07T18:30:00+00:00,3,2
2358,1421216,UEFA Europa League,World,Servette FC,Utrecht,2025-08-07T18:30:00+00:00,1,3
2357,1421161,UEFA Europa Conference League,World,Ballkani,Shamrock Rovers,2025-08-07T18:30:00+00:00,1,0
2356,1421157,UEFA Europa Conference League,World,FC Lugano,Celje,2025-08-07T18:30:00+00:00,0,5
2355,1421154,UEFA Europa Conference League,World,Universitatea Craiova,Spartak Trnava,2025-08-07T18:30:00+00:00,3,0
2354,1421159,UEFA Europa Conference League,World,Lausanne,FC Astana,2025-08-07T18:15:00+00:00,3,1
2352,1421218,UEFA Europa League,World,Panathinaikos,Shakhtar Donetsk,2025-08-07T18:00:00+00:00,0,0
2353,1421220,UEFA Europa League,World,Zrinjski,Breidablik,2025-08-07T18:00:00+00:00,1,1
2351,1421179,UEFA Europa Conference League,World,Olimpija Ljubljana,Egnatia Rrogozhinë,2025-08-07T18:00:00+00:00,0,0
2350,1421178,UEFA Europa Conference League,World,Anderlecht,Sheriff Tiraspol,2025-08-07T18:00:00+00:00,3,0
2349,1421173,UEFA Europa Conference League,World,Levski Sofia,Sabah FA,2025-08-07T18:00:00+00:00,1,0
2348,1421170,UEFA Europa Conference League,World,Vikingur Gota,Linfield,2025-08-07T18:00:00+00:00,2,1
2347,1421168,UEFA Europa Conference League,World,Sparta Praha,Ararat-Armenia,2025-08-07T18:00:00+00:00,4,1
2346,1421158,UEFA Europa Conference League,World,AZ Alkmaar,FC Vaduz,2025-08-07T18:00:00+00:00,3,0
2345,1421153,UEFA Europa Conference League,World,Polessya,Paks,2025-08-07T18:00:00+00:00,3,0
2344,1419570,UEFA Europa Conference League,World,FC Differdange 03,FC Levadia Tallinn,2025-08-07T18:00:00+00:00,2,3
2343,1413127,UEFA Europa League,World,PAOK,Wolfsberger AC,2025-08-07T17:30:00+00:00,0,0
2341,1421163,UEFA Europa Conference League,World,Viking,Istanbul Basaksehir,2025-08-07T17:00:00+00:00,1,3
2340,1421162,UEFA Europa Conference League,World,Silkeborg,Jagiellonia,2025-08-07T17:00:00+00:00,0,1
2339,1421156,UEFA Europa Conference League,World,Riga,Beitar Jerusalem,2025-08-07T17:00:00+00:00,3,0
2338,1421155,UEFA Europa Conference League,World,AIK Stockholm,Gyori ETO FC,2025-08-07T17:00:00+00:00,2,1
2342,1421211,UEFA Europa League,World,BK Hacken,Brann,2025-08-07T17:00:00+00:00,0,2
2337,1421214,UEFA Europa League,World,AEK Larnaca,Legia Warszawa,2025-08-07T16:30:00+00:00,4,1
2336,1421209,UEFA Europa League,World,CFR 1907 Cluj,SC Braga,2025-08-07T16:30:00+00:00,1,2
2335,1421169,UEFA Europa Conference League,World,Baník Ostrava,Austria Vienna,2025-08-07T16:30:00+00:00,4,3
2331,1421175,UEFA Europa Conference League,World,Araz,Omonia Nicosia,2025-08-07T16:00:00+00:00,0,4
2334,1423750,UEFA Europa Conference League,World,Rosenborg,Hammarby FF,2025-08-07T16:00:00+00:00,0,0
2333,1421219,UEFA Europa League,World,Lincoln Red Imps FC,FC Noah,2025-08-07T16:00:00+00:00,1,1
2332,1421210,UEFA Europa League,World,Fredrikstad,FC Midtjylland,2025-08-07T16:00:00+00:00,1,3
2330,1421172,UEFA Europa Conference League,World,Aris,AEK Athens FC,2025-08-07T16:00:00+00:00,2,2
2329,1421167,UEFA Europa Conference League,World,Kauno Žalgiris,Arda Kardzhali,2025-08-07T16:00:00+00:00,0,1
2328,1421160,UEFA Europa Conference League,World,Milsami Orhei,Virtus,2025-08-07T16:00:00+00:00,3,2
2327,1414143,UEFA Champions League,World,Nice,Benfica,2025-08-06T19:00:00+00:00,0,2
2326,1414142,UEFA Champions League,World,Feyenoord,Fenerbahce,2025-08-06T19:00:00+00:00,2,1
2325,1421212,UEFA Europa League,World,HNK Rijeka,Shelbourne,2025-08-06T18:45:00+00:00,1,2
2324,1421143,UEFA Champions League,World,Lech Poznan,FK Crvena Zvezda,2025-08-06T18:30:00+00:00,1,3
2323,1421142,UEFA Champions League,World,Ludogorets,Ferencvarosi TC,2025-08-06T17:30:00+00:00,0,0
2321,1421141,UEFA Champions League,World,Red Bull Salzburg,Club Brugge KV,2025-08-06T17:00:00+00:00,0,1
2322,1421213,UEFA Europa League,World,Rīgas FS,KuPS,2025-08-06T17:00:00+00:00,1,2
2320,1419568,UEFA Champions League,World,Kairat Almaty,Slovan Bratislava,2025-08-06T15:00:00+00:00,1,0
2319,1421174,UEFA Europa Conference League,World,KI Klaksvik,Neman,2025-08-05T18:45:00+00:00,2,0
2318,1421140,UEFA Champions League,World,Rangers,Plzen,2025-08-05T18:45:00+00:00,3,0
2317,1421139,UEFA Champions League,World,Shkendija,Qarabag,2025-08-05T18:00:00+00:00,0,1
2316,1421138,UEFA Champions League,World,Dynamo Kyiv,Pafos,2025-08-05T18:00:00+00:00,0,1
2315,1421215,UEFA Europa League,World,Hamrun Spartans,Maccabi Tel Aviv,2025-08-05T17:00:00+00:00,1,2
2314,1421137,UEFA Champions League,World,Malmo FF,FC Copenhagen,2025-08-05T17:00:00+00:00,0,0
2313,1382671,Premiership,Scotland,Heart Of Midlothian,Aberdeen,2025-08-04T19:00:00+00:00,2,0
2312,1382670,Premiership,Scotland,Celtic,ST Mirren,2025-08-03T15:30:00+00:00,1,0
2311,1382669,Premiership,Scotland,Dundee,Hibernian,2025-08-03T14:00:00+00:00,1,2
2310,1382668,Premiership,Scotland,Falkirk,Dundee Utd,2025-08-03T13:00:00+00:00,2,2
2307,1388619,2. Bundesliga,Germany,SpVgg Greuther Fürth,Dynamo Dresden,2025-08-03T11:30:00+00:00,3,2
2309,1388622,2. Bundesliga,Germany,1. FC Magdeburg,Eintracht Braunschweig,2025-08-03T11:30:00+00:00,0,1
2308,1388620,2. Bundesliga,Germany,Hannover 96,1. FC Kaiserslautern,2025-08-03T11:30:00+00:00,1,0
2306,1387114,League One,England,Stockport County,Bolton,2025-08-03T11:00:00+00:00,2,0
2305,1388616,2. Bundesliga,Germany,Arminia Bielefeld,Fortuna Düsseldorf,2025-08-02T18:30:00+00:00,5,1
2304,1382667,Premiership,Scotland,Motherwell,Rangers,2025-08-02T16:30:00+00:00,1,1
2303,1386007,League Two,England,Newport County,Notts County,2025-08-02T15:00:00+00:00,1,1
